Days_Count,population,Area,Density,count
12,1,1,0.6666666666666666,28
11,1,1,0.6666666666666666,27
20,1,15,0.06666666666666667,487
20,1,15,0.06666666666666667,333
11,1,1,1.0,48
10,1,1,1.0,41
9,1,1,1.0,32
8,1,1,1.0,26
7,1,1,1.0,19
6,1,1,1.0,14
5,1,1,1.0,8
4,1,1,1.0,11
3,1,1,1.0,7
2,1,1,1.0,0
1,1,1,1.0,0
25,1,5,0.2,424
12,1,1,1.0,54
24,1,5,0.2,424
12,1,10,0.1,35
11,1,10,0.1,28
10,1,10,0.1,26
9,1,10,0.1,25
8,1,10,0.1,19
7,1,10,0.1,16
6,1,10,0.1,12
5,1,10,0.1,8
4,1,1,1.0,5
3,1,1,1.0,4
8,1,1,1.0,11
2,1,1,1.0,2
2,1,1,1.0,2
1,1,1,1.0,0
16,1,1,1.0,25
15,1,1,1.0,23
14,1,1,1.0,20
13,1,1,1.0,16
12,1,1,1.0,15
11,1,1,1.0,15
10,1,1,1.0,14
9,1,1,1.0,12
2,1,10,0.1,2
7,1,1,1.0,10
6,1,1,1.0,10
5,1,1,1.0,9
10,1,1,1.0,26
9,1,1,1.0,26
2,1,1,1.0,2
1,1,1,1.0,0
16,1,1,1.0,74
15,1,1,1.0,67
14,1,1,1.0,63
13,1,1,1.0,58
8,1,10,0.1,39
4,1,10,0.1,7
3,1,10,0.1,4
14,1,10,0.1,43
13,1,10,0.1,38
26,1,5,0.2,391
25,1,5,0.2,390
24,1,5,0.2,388
13,1,10,0.1,45
12,1,10,0.1,42
11,1,10,0.1,41
10,1,10,0.1,41
9,1,10,0.1,40
17,1,10,0.1,61
7,1,10,0.1,34
6,1,10,0.1,28
3,1,10,0.1,8
2,1,10,0.1,2
1,1,10,0.1,0
13,1,10,0.1,28
12,1,10,0.1,27
11,1,10,0.1,26
16,1,10,0.1,55
15,1,10,0.1,47
11,1,10,0.1,40
3,1,1,1.0,2
1,1,10,0.1,0
18,1,10,0.1,62
17,1,10,0.1,61
16,1,10,0.1,58
15,1,10,0.1,54
23,1,5,0.2,423
22,1,5,0.2,420
21,1,5,0.2,415
27,1,5,0.2,294
26,1,5,0.2,292
4,1,1,1.0,6
9,1,1,0.6666666666666666,25
10,1,10,0.1,24
9,1,10,0.1,23
8,1,10,0.1,22
7,1,10,0.1,19
6,1,10,0.1,17
5,1,10,0.1,16
4,1,10,0.1,12
3,1,10,0.1,10
2,1,10,0.1,6
1,1,10,0.1,1
18,1,10,0.1,63
15,1,1,0.6666666666666666,40
7,1,1,0.6666666666666666,19
6,1,1,0.6666666666666666,17
5,1,1,0.6666666666666666,17
4,1,1,0.6666666666666666,13
3,1,1,0.6666666666666666,12
2,1,1,0.6666666666666666,8
1,1,1,0.6666666666666666,2
5,1,1,0.6666666666666666,21
4,1,1,0.6666666666666666,19
9,1,1,0.6666666666666666,40
8,1,1,0.6666666666666666,36
18,1,15,0.06666666666666667,469
8,1,1,0.6666666666666666,20
14,1,1,0.6666666666666666,37
13,1,1,0.6666666666666666,33
12,1,1,0.6666666666666666,31
11,1,1,0.6666666666666666,30
10,1,1,0.6666666666666666,28
9,1,1,0.6666666666666666,26
8,1,1,0.6666666666666666,20
24,1,5,0.2,402
23,1,5,0.2,399
5,1,1,0.6666666666666666,10
4,1,1,0.6666666666666666,9
13,1,1,0.6666666666666666,29
6,1,1,0.6666666666666666,25
5,1,1,0.6666666666666666,12
4,1,1,0.6666666666666666,6
3,1,1,0.6666666666666666,12
2,1,1,0.6666666666666666,4
1,1,1,0.6666666666666666,1
18,1,1,0.6666666666666666,47
17,1,1,0.6666666666666666,45
16,1,1,0.6666666666666666,42
15,1,1,0.6666666666666666,37
14,1,1,0.6666666666666666,34
3,1,1,0.6666666666666666,4
12,1,1,0.6666666666666666,23
11,1,1,0.6666666666666666,19
10,1,1,0.6666666666666666,18
25,1,5,0.2,404
5,1,1,0.6666666666666666,13
4,1,1,0.6666666666666666,12
22,1,5,0.2,395
12,1,1,0.6666666666666666,24
11,1,1,0.6666666666666666,23
10,1,1,0.6666666666666666,21
9,1,1,0.6666666666666666,21
23,1,5,0.2,351
7,1,1,0.6666666666666666,15
6,1,1,0.6666666666666666,11
22,1,5,0.2,348
10,1,1,0.6666666666666666,51
9,1,1,0.6666666666666666,43
8,1,1,0.6666666666666666,35
7,1,1,0.6666666666666666,27
6,1,1,0.6666666666666666,21
5,1,1,0.6666666666666666,14
4,1,1,0.6666666666666666,10
3,1,1,0.6666666666666666,5
24,1,5,0.2,354
18,1,1,0.6666666666666666,53
18,1,1,0.6666666666666666,74
17,1,1,0.6666666666666666,72
16,1,1,0.6666666666666666,66
15,1,1,0.6666666666666666,61
14,1,1,0.6666666666666666,54
13,1,1,0.6666666666666666,51
25,1,5,0.2,387
24,1,5,0.2,385
23,1,5,0.2,383
20,1,15,0.06666666666666667,433
22,1,5,0.2,378
11,1,1,0.6666666666666666,50
2,1,1,0.6666666666666666,2
1,1,1,0.6666666666666666,0
13,1,1,0.6666666666666666,25
25,1,5,0.2,500
24,1,5,0.2,500
23,1,5,0.2,496
19,1,15,0.06666666666666667,471
25,1,5,0.2,354
11,1,1,0.6666666666666666,42
10,1,1,0.6666666666666666,42
12,1,1,0.6666666666666666,50
7,1,1,0.6666666666666666,29
10,1,1,0.6666666666666666,48
9,1,1,0.6666666666666666,45
8,1,1,0.6666666666666666,43
7,1,1,0.6666666666666666,37
6,1,1,0.6666666666666666,31
5,1,1,0.6666666666666666,23
4,1,1,0.6666666666666666,14
3,1,1,0.6666666666666666,11
2,1,1,0.6666666666666666,4
1,1,1,0.6666666666666666,0
19,1,1,0.6666666666666666,53
6,1,1,0.6666666666666666,13
24,1,5,0.2,299
23,1,5,0.2,297
22,1,5,0.2,293
4,1,1,0.6666666666666666,10
3,1,1,0.6666666666666666,9
23,1,5,0.2,396
12,1,1,0.6666666666666666,58
11,1,1,0.6666666666666666,50
10,1,1,0.6666666666666666,43
9,1,1,0.6666666666666666,35
8,1,1,0.6666666666666666,27
7,1,1,0.6666666666666666,20
16,1,1,0.6666666666666666,47
5,1,1,0.6666666666666666,6
4,1,1,0.6666666666666666,0
3,1,1,0.6666666666666666,0
2,1,1,0.6666666666666666,0
1,1,1,0.6666666666666666,0
6,1,1,0.6666666666666666,15
5,1,1,0.6666666666666666,10
15,1,1,0.6666666666666666,48
14,1,1,0.6666666666666666,44
19,1,15,0.06666666666666667,460
18,1,15,0.06666666666666667,460
10,1,1,0.6666666666666666,27
8,1,1,0.6666666666666666,22
7,1,1,0.6666666666666666,18
6,1,1,0.6666666666666666,17
5,1,1,0.6666666666666666,13
20,1,15,0.06666666666666667,329
2,1,1,0.6666666666666666,4
1,1,1,0.6666666666666666,1
13,1,1,0.6666666666666666,31
13,1,1,0.6666666666666666,39
12,1,1,0.6666666666666666,36
11,1,1,0.6666666666666666,30
14,1,1,0.6666666666666666,50
9,1,1,0.6666666666666666,26
8,1,1,0.6666666666666666,21
7,1,1,0.6666666666666666,18
9,1,1,0.6666666666666666,37
8,1,1,0.6666666666666666,33
4,1,1,0.6666666666666666,9
3,1,1,0.6666666666666666,5
2,1,1,0.6666666666666666,2
1,1,1,0.6666666666666666,0
18,1,1,0.6666666666666666,51
17,1,1,0.6666666666666666,50
7,1,1,0.6666666666666666,35
2,1,1,0.6666666666666666,1
1,1,1,0.6666666666666666,0
18,1,1,0.6666666666666666,71
17,1,1,0.6666666666666666,69
16,1,1,0.6666666666666666,63
15,1,1,0.6666666666666666,57
20,1,15,0.06666666666666667,476
20,1,15,0.06666666666666667,310
9,1,1,0.6666666666666666,15
8,1,1,0.6666666666666666,15
7,1,1,0.6666666666666666,13
6,1,1,0.6666666666666666,13
3,1,1,0.6666666666666666,2
6,1,1,0.6666666666666666,28
3,1,1,0.6666666666666666,7
2,1,1,0.6666666666666666,2
1,1,1,0.6666666666666666,1
19,1,1,0.6666666666666666,48
18,1,1,0.6666666666666666,48
17,1,1,0.6666666666666666,43
17,1,0,2.0,85
15,1,1,0.6666666666666666,35
14,1,1,0.6666666666666666,34
13,1,1,0.6666666666666666,31
1,1,1,0.6666666666666666,1
13,1,1,0.6666666666666666,47
12,1,1,0.6666666666666666,44
11,1,1,0.6666666666666666,44
10,1,1,0.6666666666666666,43
9,1,1,0.6666666666666666,41
8,1,1,0.6666666666666666,40
24,1,5,0.2,397
5,1,1,0.6666666666666666,19
4,1,1,0.6666666666666666,11
3,1,1,0.6666666666666666,9
2,1,1,0.6666666666666666,2
3,1,1,1.0,8
14,1,1,0.6666666666666666,66
13,1,1,0.6666666666666666,65
12,1,1,0.6666666666666666,28
11,1,1,0.6666666666666666,22
10,1,1,0.6666666666666666,19
9,1,1,0.6666666666666666,17
8,1,1,0.6666666666666666,15
7,1,1,0.6666666666666666,15
6,1,1,0.6666666666666666,13
17,1,1,0.6666666666666666,60
16,1,1,0.6666666666666666,56
3,1,10,0.1,11
14,1,10,0.1,177
14,1,10,0.1,52
13,1,10,0.1,52
12,1,10,0.1,46
11,1,10,0.1,39
10,1,10,0.1,35
9,1,10,0.1,30
8,1,10,0.1,27
7,1,10,0.1,22
6,1,10,0.1,20
5,1,10,0.1,15
4,1,10,0.1,12
15,1,10,0.1,180
2,1,10,0.1,5
1,1,10,0.1,1
17,1,10,0.1,182
16,1,10,0.1,182
18,1,1,1.0,61
17,1,1,1.0,59
16,1,1,1.0,55
15,1,1,1.0,50
14,1,1,1.0,44
13,1,1,1.0,41
12,1,1,1.0,39
23,1,7,0.13333333333333333,241
19,1,7,0.13333333333333333,335
12,1,7,0.13333333333333333,126
20,1,5,0.2,262
25,1,7,0.13333333333333333,241
24,1,7,0.13333333333333333,241
19,1,10,0.1,415
21,1,5,0.2,232
17,1,10,0.1,306
16,1,10,0.1,303
19,1,10,0.1,383
18,1,10,0.1,381
29,1,5,0.2,180
11,1,1,1.0,39
27,1,5,0.2,177
26,1,5,0.2,173
25,1,5,0.2,172
24,1,5,0.2,171
23,1,5,0.2,170
20,1,10,0.1,223
23,1,5,0.2,207
22,1,5,0.2,207
21,1,5,0.2,207
20,1,5,0.2,207
28,1,5,0.2,180
4,1,1,1.0,9
1,1,1,1.0,0
13,1,1,1.0,22
12,1,1,1.0,21
11,1,1,1.0,20
10,1,1,1.0,18
9,1,1,1.0,18
8,1,1,1.0,18
7,1,1,1.0,18
6,1,1,1.0,17
5,1,1,1.0,17
4,1,1,1.0,14
3,1,1,1.0,13
2,1,1,1.0,0
3,1,1,1.0,7
9,1,1,1.0,8
8,1,1,1.0,8
7,1,1,1.0,8
6,1,1,1.0,8
5,1,1,1.0,8
4,1,1,1.0,7
3,1,1,1.0,6
2,1,1,1.0,4
1,1,1,1.0,1
9,1,1,1.0,8
6,1,1,1.0,24
10,1,1,1.0,39
9,1,1,1.0,38
8,1,1,1.0,37
7,1,1,1.0,32
6,1,1,1.0,26
5,1,1,1.0,18
16,1,5,0.2,232
2,1,1,1.0,1
1,1,1,1.0,0
8,1,1,1.0,25
7,1,1,1.0,25
21,1,5,0.2,291
5,1,1,1.0,24
4,1,1,1.0,18
3,1,1,1.0,12
2,1,1,1.0,8
1,1,1,1.0,2
9,1,1,1.0,14
8,1,1,1.0,14
7,1,1,1.0,10
6,1,1,1.0,8
18,1,10,0.1,517
3,1,1,1.0,1
12,1,5,0.2,139
19,1,5,0.2,261
18,1,5,0.2,259
25,1,5,0.2,194
24,1,5,0.2,194
23,1,5,0.2,194
16,1,5,0.2,189
17,1,5,0.2,159
16,1,5,0.2,158
14,1,5,0.2,72
13,1,5,0.2,72
12,1,5,0.2,72
11,1,5,0.2,72
9,1,0,2.0,0
23,1,5,0.2,272
22,1,5,0.2,272
21,1,5,0.2,268
20,1,5,0.2,265
18,1,5,0.2,161
14,1,5,0.2,140
13,1,5,0.2,139
19,1,5,0.2,190
18,1,5,0.2,190
17,1,5,0.2,190
25,1,5,0.2,169
7,1,0,2.0,24
12,1,0,2.0,45
20,1,15,0.06666666666666667,415
8,1,0,2.0,0
16,1,0,2.0,82
15,1,0,2.0,79
14,1,0,2.0,72
13,1,0,2.0,63
12,1,0,2.0,55
11,1,0,2.0,46
9,1,0,2.0,32
8,1,0,2.0,25
24,1,5,0.2,169
6,1,0,2.0,20
5,1,0,2.0,16
4,1,0,2.0,10
3,1,0,2.0,4
2,1,0,2.0,0
1,1,0,2.0,0
17,1,5,0.2,259
16,1,5,0.2,257
12,1,0,2.0,0
11,1,0,2.0,0
10,1,0,2.0,0
23,1,5,0.2,391
18,1,5,0.2,194
17,1,5,0.2,192
25,1,7,0.13333333333333333,228
14,1,5,0.2,185
13,1,5,0.2,179
12,1,5,0.2,176
11,1,5,0.2,174
19,1,10,0.1,295
20,1,10,0.1,403
16,1,5,0.2,146
25,1,5,0.2,391
24,1,5,0.2,391
19,1,5,0.2,194
24,1,7,0.13333333333333333,228
23,1,7,0.13333333333333333,227
20,1,10,0.1,433
27,1,5,0.2,292
26,1,5,0.2,292
25,1,5,0.2,292
24,1,5,0.2,292
23,1,5,0.2,292
12,1,5,0.2,503
18,1,10,0.1,414
22,1,5,0.2,291
16,1,5,0.2,197
23,1,5,0.2,168
22,1,5,0.2,166
21,1,5,0.2,166
20,1,5,0.2,164
15,1,5,0.2,158
20,1,5,0.2,189
19,1,5,0.2,189
16,1,5,0.2,190
15,1,5,0.2,190
14,1,5,0.2,190
17,1,5,0.2,199
8,1,1,1.0,8
15,1,5,0.2,191
21,1,5,0.2,164
20,1,5,0.2,162
19,1,5,0.2,162
20,1,5,0.2,205
19,1,5,0.2,205
18,1,5,0.2,202
19,1,5,0.2,313
19,1,5,0.2,164
18,1,5,0.2,162
17,1,5,0.2,160
13,1,1,1.0,25
2,1,1,1.0,3
1,1,1,1.0,1
4,1,1,1.0,12
3,1,1,1.0,6
2,1,1,1.0,2
1,1,1,1.0,0
1,1,1,1.0,0
18,1,1,1.0,44
17,1,1,1.0,40
11,1,1,1.0,22
10,1,1,1.0,20
14,1,1,1.0,30
3,1,1,1.0,8
12,1,1,1.0,20
11,1,1,1.0,16
10,1,1,1.0,15
9,1,1,1.0,13
8,1,1,1.0,13
7,1,1,1.0,11
6,1,1,1.0,11
5,1,1,1.0,11
4,1,1,1.0,10
3,1,1,1.0,6
2,1,1,1.0,2
1,1,1,1.0,0
12,1,1,1.0,28
3,1,1,1.0,9
2,1,1,1.0,4
9,1,1,1.0,19
8,1,1,1.0,15
7,1,1,1.0,12
6,1,1,1.0,9
5,1,1,1.0,5
4,1,1,1.0,4
3,1,1,1.0,2
2,1,1,1.0,1
1,1,1,1.0,1
14,1,1,1.0,32
13,1,1,1.0,32
12,1,1,1.0,32
11,1,1,1.0,32
10,1,1,1.0,32
3,1,1,1.0,5
2,1,1,1.0,1
7,1,1,1.0,24
6,1,1,1.0,21
5,1,1,1.0,14
4,1,1,1.0,11
6,1,1,1.0,15
8,1,1,1.0,11
7,1,1,1.0,11
6,1,1,1.0,9
5,1,1,1.0,7
4,1,1,1.0,7
3,1,1,1.0,4
2,1,1,1.0,1
1,1,1,1.0,0
19,1,1,1.0,61
18,1,1,1.0,61
8,1,1,1.0,24
7,1,1,1.0,20
9,1,1,1.0,11
5,1,1,1.0,10
4,1,1,1.0,8
3,1,1,1.0,3
2,1,1,1.0,1
1,1,1,1.0,0
1,1,1,1.0,20
9,1,1,1.0,19
8,1,1,1.0,19
7,1,1,1.0,19
6,1,1,1.0,16
5,1,1,1.0,14
8,1,1,1.0,19
9,1,1,1.0,30
8,1,1,1.0,27
17,1,1,1.0,61
16,1,1,1.0,56
15,1,1,1.0,48
14,1,1,1.0,47
13,1,1,1.0,44
12,1,1,1.0,42
11,1,1,1.0,37
10,1,1,1.0,30
9,1,1,1.0,24
13,1,1,1.0,31
7,1,1,1.0,17
6,1,1,1.0,16
5,1,1,1.0,12
4,1,1,1.0,11
16,1,1,1.0,37
15,1,1,1.0,32
1,1,1,1.0,0
13,1,1,1.0,11
12,1,1,1.0,11
11,1,1,1.0,11
10,1,1,1.0,11
3,1,1,1.0,6
2,1,1,1.0,0
1,1,1,1.0,0
10,1,1,1.0,49
9,1,1,1.0,49
8,1,1,1.0,45
7,1,1,1.0,43
6,1,1,1.0,38
5,1,1,1.0,30
4,1,1,1.0,25
3,1,1,1.0,16
2,1,1,1.0,8
4,1,1,1.0,7
3,1,1,1.0,0
13,1,1,1.0,72
12,1,1,1.0,66
11,1,1,1.0,58
10,1,1,1.0,51
9,1,1,1.0,43
8,1,1,1.0,35
7,1,1,1.0,28
6,1,1,1.0,21
5,1,1,1.0,14
4,1,1,1.0,10
3,1,1,1.0,5
15,1,1,1.0,18
7,1,1,1.0,8
6,1,1,1.0,8
5,1,1,1.0,8
5,1,1,1.0,6
4,1,1,1.0,3
2,1,1,1.0,4
1,1,1,1.0,1
19,1,1,1.0,30
18,1,1,1.0,30
17,1,1,1.0,25
16,1,1,1.0,22
2,1,1,1.0,1
14,1,1,1.0,16
13,1,1,1.0,13
12,1,1,1.0,11
11,1,1,1.0,10
10,1,1,1.0,8
9,1,1,1.0,6
8,1,1,1.0,5
2,1,1,1.0,6
1,1,1,1.0,2
5,1,1,1.0,1
4,1,1,1.0,0
1,1,1,1.0,0
8,1,1,1.0,27
7,1,1,1.0,22
6,1,1,1.0,17
5,1,1,1.0,12
4,1,1,1.0,10
3,1,1,1.0,6
2,1,1,1.0,2
1,1,1,1.0,0
5,1,1,1.0,14
4,1,1,1.0,10
19,1,1,1.0,51
18,1,1,1.0,51
9,1,1,1.0,31
5,1,1,1.0,22
4,1,1,1.0,20
3,1,1,1.0,10
2,1,1,1.0,4
1,1,1,1.0,1
19,1,1,1.0,57
18,1,1,1.0,55
17,1,1,1.0,52
16,1,1,1.0,47
15,1,1,1.0,39
14,1,1,1.0,35
10,1,1,1.0,28
1,1,1,1.0,0
20,1,1,1.0,51
7,1,1,1.0,4
6,1,1,1.0,2
17,1,1,1.0,50
16,1,1,1.0,47
15,1,1,1.0,45
14,1,1,1.0,44
13,1,1,1.0,44
12,1,1,1.0,38
11,1,1,1.0,32
16,1,1,0.6666666666666666,39
9,1,1,1.0,25
8,1,1,1.0,22
7,1,1,1.0,18
6,1,1,1.0,17
5,1,1,1.0,13
4,1,1,1.0,10
1,1,1,1.0,3
14,1,1,1.0,73
1,1,1,1.0,1
11,1,1,1.0,34
10,1,1,1.0,34
7,1,0,2.0,16
7,1,0,2.0,30
11,1,0,2.0,40
8,1,0,2.0,31
15,1,0,2.0,46
14,1,0,2.0,43
13,1,0,2.0,40
12,1,0,2.0,37
11,1,0,2.0,28
9,1,0,2.0,21
8,1,0,2.0,18
6,1,0,2.0,24
6,1,0,2.0,13
5,1,0,2.0,9
4,1,0,2.0,6
3,1,0,2.0,2
2,1,0,2.0,0
21,1,7,0.13333333333333333,192
20,1,7,0.13333333333333333,192
9,1,0,2.0,32
10,1,0,2.0,35
16,1,7,0.13333333333333333,189
14,1,0,2.0,41
7,1,0,2.0,28
15,1,0,2.0,44
16,1,0,2.0,46
17,1,0,2.0,48
1,1,0,2.0,0
19,1,7,0.13333333333333333,192
18,1,7,0.13333333333333333,191
17,1,7,0.13333333333333333,189
12,1,0,2.0,43
15,1,7,0.13333333333333333,186
8,1,0,2.0,30
2,1,0,2.0,0
3,1,0,2.0,8
4,1,0,2.0,13
5,1,0,2.0,17
23,1,2,0.4,86
9,1,0,2.0,30
10,1,0,2.0,37
1,1,0,2.0,1
11,1,0,2.0,13
10,1,0,2.0,13
9,1,0,2.0,13
8,1,0,2.0,13
7,1,0,2.0,13
6,1,0,2.0,13
5,1,0,2.0,13
4,1,0,2.0,13
3,1,0,2.0,9
2,1,0,2.0,5
12,1,0,2.0,13
12,1,0,2.0,13
11,1,0,2.0,13
10,1,0,2.0,13
9,1,0,2.0,13
8,1,0,2.0,13
7,1,0,2.0,13
6,1,0,2.0,13
5,1,0,2.0,13
4,1,0,2.0,13
9,1,0,2.0,13
11,1,0,2.0,39
12,1,0,2.0,42
13,1,0,2.0,45
14,1,0,2.0,49
15,1,0,2.0,52
13,1,0,2.0,13
12,1,0,2.0,13
11,1,0,2.0,13
10,1,0,2.0,13
13,1,0,2.0,38
8,1,0,2.0,13
7,1,0,2.0,13
6,1,0,2.0,13
5,1,0,2.0,13
4,1,0,2.0,13
3,1,0,2.0,7
2,1,0,2.0,4
1,1,0,2.0,0
13,1,0,2.0,13
14,1,0,2.0,46
4,1,0,2.0,9
5,1,0,2.0,9
6,1,0,2.0,16
7,1,0,2.0,21
9,1,0,2.0,23
10,1,0,2.0,31
8,1,0,2.0,23
11,1,0,2.0,37
12,1,0,2.0,42
13,1,0,2.0,44
3,1,0,2.0,6
15,1,0,2.0,46
1,1,0,2.0,0
9,1,0,2.0,27
10,1,0,2.0,30
11,1,0,2.0,32
12,1,0,2.0,36
13,1,0,2.0,41
14,1,0,2.0,44
15,1,0,2.0,45
11,1,0,2.0,28
3,1,0,2.0,5
4,1,0,2.0,9
10,1,2,0.4,88
9,1,0,2.0,21
5,1,0,2.0,14
21,1,2,0.4,136
20,1,2,0.4,136
19,1,2,0.4,136
10,1,0,2.0,26
20,1,7,0.13333333333333333,284
12,1,0,2.0,32
13,1,0,2.0,35
14,1,0,2.0,35
1,1,0,2.0,0
2,1,0,2.0,3
14,1,0,2.0,51
6,1,0,2.0,18
7,1,0,2.0,19
8,1,0,2.0,23
10,1,0,2.0,29
19,1,7,0.13333333333333333,175
18,1,7,0.13333333333333333,174
17,1,7,0.13333333333333333,172
8,1,0,2.0,23
16,1,2,0.4,119
15,1,2,0.4,115
9,1,0,2.0,25
6,1,0,2.0,22
14,1,2,0.4,112
13,1,2,0.4,107
20,1,7,0.13333333333333333,176
12,1,2,0.4,103
11,1,2,0.4,101
11,1,0,2.0,32
12,1,0,2.0,35
10,1,2,0.4,100
9,1,2,0.4,99
17,1,2,0.4,101
16,1,2,0.4,101
15,1,2,0.4,101
5,1,0,2.0,5
2,1,0,2.0,3
1,1,0,2.0,0
2,1,0,2.0,0
3,1,0,2.0,7
13,1,0,2.0,47
3,1,0,2.0,0
4,1,0,2.0,11
5,1,0,2.0,16
4,1,0,2.0,1
3,1,0,2.0,10
6,1,0,2.0,13
7,1,0,2.0,19
19,1,2,0.4,124
18,1,2,0.4,123
17,1,2,0.4,121
24,1,7,0.13333333333333333,181
23,1,7,0.13333333333333333,180
22,1,7,0.13333333333333333,178
21,1,7,0.13333333333333333,178
2,1,0,2.0,0
12,1,0,2.0,32
11,1,0,2.0,28
10,1,0,2.0,25
9,1,0,2.0,22
8,1,0,2.0,22
7,1,0,2.0,20
6,1,0,2.0,14
5,1,0,2.0,9
4,1,0,2.0,5
3,1,0,2.0,1
13,1,0,2.0,35
1,1,0,2.0,0
17,1,0,2.0,61
16,1,0,2.0,61
15,1,0,2.0,60
14,1,0,2.0,57
13,1,0,2.0,52
12,1,0,2.0,45
11,1,0,2.0,41
10,1,0,2.0,38
7,1,0,2.0,27
2,1,0,2.0,7
1,1,0,2.0,2
14,1,0,2.0,43
13,1,0,2.0,43
12,1,0,2.0,41
11,1,0,2.0,38
10,1,0,2.0,34
9,1,0,2.0,30
8,1,0,2.0,28
9,1,0,2.0,33
6,1,0,2.0,25
5,1,0,2.0,20
4,1,0,2.0,16
3,1,0,2.0,11
2,1,0,2.0,6
1,1,0,2.0,1
16,1,0,2.0,44
15,1,0,2.0,42
14,1,0,2.0,40
9,1,0,2.0,31
5,1,0,2.0,16
4,1,0,2.0,10
3,1,0,2.0,3
2,1,0,2.0,0
1,1,0,2.0,0
14,1,0,2.0,41
13,1,0,2.0,41
12,1,0,2.0,40
11,1,0,2.0,38
10,1,0,2.0,35
6,1,0,2.0,25
8,1,0,2.0,28
7,1,0,2.0,26
6,1,0,2.0,22
5,1,0,2.0,17
4,1,0,2.0,12
3,1,0,2.0,5
2,1,0,2.0,0
1,1,0,2.0,0
16,1,0,2.0,53
16,1,0,2.0,59
8,1,0,2.0,29
7,1,0,2.0,27
6,1,0,2.0,25
5,1,0,2.0,16
4,1,0,2.0,8
3,1,0,2.0,5
2,1,0,2.0,0
1,1,0,2.0,0
17,1,0,2.0,59
3,1,0,2.0,13
15,1,0,2.0,57
14,1,0,2.0,53
13,1,0,2.0,48
12,1,0,2.0,45
11,1,0,2.0,43
10,1,0,2.0,43
9,1,0,2.0,42
8,1,0,2.0,37
7,1,0,2.0,33
13,1,0,2.0,18
9,1,0,2.0,13
8,1,0,2.0,13
7,1,0,2.0,13
6,1,0,2.0,13
5,1,0,2.0,13
4,1,0,2.0,13
3,1,0,2.0,13
2,1,0,2.0,6
1,1,0,2.0,1
14,1,0,2.0,18
10,1,0,2.0,13
12,1,0,2.0,18
11,1,0,2.0,18
10,1,0,2.0,18
9,1,0,2.0,18
8,1,0,2.0,18
7,1,0,2.0,18
6,1,0,2.0,18
5,1,0,2.0,18
4,1,0,2.0,12
6,1,0,2.0,17
2,1,0,2.0,4
